iter	Passed	Remaining
688	956	431
689	958	430
690	959	428
691	960	427
692	961	425
693	962	424
694	963	422
695	964	421
696	966	419
697	967	418
698	968	417
699	969	415
700	970	414
701	971	412
702	973	411
703	974	409
704	975	408
705	976	406
706	977	405
707	978	403
708	979	402
709	980	400
710	981	399
711	983	397
712	984	396
713	985	394
714	986	393
715	987	391
716	988	390
717	989	388
718	991	387
719	992	385
720	993	384
721	994	382
722	995	381
723	996	379
724	997	378
725	998	377
726	999	375
727	1001	374
728	1002	372
729	1003	371
730	1004	369
731	1005	368
732	1006	366
733	1007	365
734	1009	363
735	1010	362
736	1011	360
737	1012	359
738	1013	357
739	1014	356
740	1016	355
741	1017	353
742	1019	352
743	1020	351
744	1021	349
745	1022	348
746	1023	346
747	1024	345
748	1025	343
749	1027	342
750	1028	340
751	1029	339
752	1030	337
753	1031	336
754	1032	335
755	1033	333
756	1034	332
757	1035	330
758	1036	329
759	1037	327
760	1039	326
761	1040	324
762	1041	323
763	1042	322
764	1043	320
765	1044	319
766	1046	317
767	1047	316
768	1048	314
769	1049	313
770	1050	311
771	1051	310
772	1052	309
773	1053	307
774	1054	306
775	1055	304
776	1057	303
777	1058	301
778	1059	300
779	1060	299
780	1061	297
781	1062	296
782	1063	294
783	1064	293
784	1066	291
785	1067	290
786	1068	289
787	1069	287
788	1070	286
789	1071	284
790	1072	283
791	1073	282
792	1075	280
793	1076	279
794	1077	277
795	1078	276
796	1079	274
797	1080	273
798	1081	272
799	1083	270
800	1085	269
801	1086	268
802	1088	266
803	1089	265
804	1090	264
805	1091	262
806	1092	261
807	1093	259
808	1094	258
809	1096	257
810	1097	255
811	1098	254
812	1099	252
813	1100	251
814	1101	250
815	1102	248
816	1103	247
817	1104	245
818	1106	244
819	1107	243
820	1108	241
821	1109	240
822	1110	238
823	1111	237
824	1112	236
825	1113	234
826	1115	233
827	1116	231
828	1117	230
829	1118	229
830	1119	227
831	1120	226
832	1121	224
833	1122	223
834	1124	222
835	1125	220
836	1126	219
837	1127	217
838	1128	216
839	1129	215
840	1131	213
841	1132	212
842	1133	211
843	1134	209
844	1135	208
845	1136	206
846	1137	205
847	1138	204
848	1140	202
849	1141	201
850	1142	200
851	1143	198
852	1144	197
853	1145	195
854	1146	194
855	1147	193
856	1149	191
857	1150	190
858	1151	188
859	1152	187
860	1153	186
861	1155	184
862	1156	183
863	1157	182
864	1158	180
865	1159	179
866	1160	178
867	1161	176
868	1163	175
869	1164	173
870	1165	172
871	1166	171
872	1167	169
873	1168	168
874	1169	167
875	1171	165
876	1172	164
877	1173	163
878	1174	161
879	1175	160
880	1176	158
881	1177	157
882	1178	156
883	1180	154
884	1181	153
885	1182	152
886	1183	150
887	1184	149
888	1186	148
889	1187	146
890	1189	145
891	1190	144
892	1191	142
893	1192	141
894	1194	140
895	1195	138
896	1196	137
897	1197	136
898	1198	134
899	1199	133
900	1200	131
901	1202	130
902	1203	129
903	1204	127
904	1205	126
905	1206	125
906	1207	123
907	1209	122
908	1210	121
909	1212	119
910	1213	118
911	1214	117
912	1215	115
913	1217	114
914	1218	113
915	1219	111
916	1220	110
917	1221	109
918	1222	107
919	1224	106
920	1225	105
921	1226	103
922	1227	102
923	1229	101
924	1230	99
925	1231	98
926	1232	97
927	1233	95
928	1234	94
929	1236	93
930	1237	91
931	1238	90
932	1239	89
933	1240	87
934	1241	86
935	1242	84
936	1243	83
937	1245	82
938	1246	80
939	1247	79
940	1248	78
941	1249	76
942	1250	75
943	1251	74
944	1253	72
945	1254	71
946	1255	70
947	1256	68
948	1257	67
949	1258	66
950	1259	64
951	1260	63
952	1262	62
953	1263	60
954	1264	59
955	1265	58
956	1266	56
957	1267	55
958	1269	54
959	1270	52
960	1271	51
961	1272	50
962	1273	48
963	1274	47
964	1275	46
965	1277	44
966	1278	43
967	1279	42
968	1280	40
969	1281	39
970	1282	38
971	1283	36
972	1284	35
973	1286	34
974	1287	33
975	1288	31
976	1289	30
977	1290	29
978	1291	27
979	1292	26
980	1294	25
981	1295	23
982	1296	22
983	1298	21
984	1299	19
985	1300	18
986	1301	17
987	1302	15
988	1303	14
989	1304	13
990	1305	11
991	1307	10
992	1308	9
993	1309	7
994	1310	6
995	1311	5
996	1312	3
997	1313	2
998	1315	1
999	1316	0
